"Storey","IFC Type","Element Name","CompositeKey","EA","SF","LF","CY"
"L1_43_High","IFCCOLUMN","W Shapes-Column:W14x109:608204","0:5676","1","","191.38","16.80"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W14x109:608205","0:5691","1","","202.73","17.80"
"L1_35_Low","IFCCOLUMN","W Shapes-Column:W14x109:608206","0:5719","1","","210.79","18.51"
"L1_35_Low","IFCCOLUMN","W Shapes-Column:W14x109:608207","0:5736","1","","210.79","18.51"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W10x49:608209","0:5764","1","","202.73","7.98"
"L1_43_High","IFCCOLUMN","W Shapes-Column:W10x49:608211","0:5829","1","","191.38","7.53"
"L1_43_High","IFCCOLUMN","W Shapes-Column:W14x109:608212","0:5844","1","","191.38","16.80"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W10x49:608213","0:5859","1","","202.73","7.98"
"L1_35_Low","IFCCOLUMN","W Shapes-Column:W10x49:608215","0:5887","1","","210.79","8.30"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W18x119:608216","0:5915","1","","86.26","8.36"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W10x49:608217","0:5970","1","","202.73","7.98"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W10x49:608218","0:5985","1","","202.73","7.98"
"L1_43_High","IFCCOLUMN","W Shapes-Column:W14x109:608220","0:6000","1","","191.38","16.80"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W10x49:608221","0:6015","1","","202.73","7.98"
"L1_35_Low","IFCCOLUMN","W Shapes-Column:W18x119:608223","0:6043","1","","94.32","9.14"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W14x109:608224","0:6071","1","","158.98","13.96"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W14x109:608225","0:6100","1","","186.46","16.37"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W14x109:608226","0:6116","1","","186.46","16.37"
"L1_43_High","IFCCOLUMN","W Shapes-Column:W14x109:608227","0:6144","1","","147.64","12.96"
"L1_43_High","IFCCOLUMN","W Shapes-Column:W14x109:608228","0:6160","1","","147.64","12.96"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W14x109:608229","0:6175","1","","158.98","13.96"
"L1_43_High","IFCCOLUMN","W Shapes-Column:W14x109:608236","0:6190","1","","147.64","12.96"
"L1_43_High","IFCCOLUMN","HSS-Hollow Structural Section-Column:HSS6x6x5/8:617623","0:7530","1","","24.88","0.87"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W10x49:630174","0:8710","1","","158.98","6.26"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W14x109:630213","0:8738","1","","86.26","7.57"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W10x49:630330","0:8798","1","","180.69","7.11"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W10x49:630361","0:8831","1","","180.83","7.12"
"L3","IFCCOLUMN","W Shapes-Column:W10x49:642990","0:11635","1","","116.47","4.58"
"L3","IFCCOLUMN","W Shapes-Column:W10x49:643097","0:11652","1","","116.47","4.58"
"L1_35_Low","IFCCOLUMN","W Shapes-Column:W10x49:663713","0:12762","1","","210.79","8.30"
"L5","IFCCOLUMN","W Shapes-Column:W8x31:705124","0:20294","1","","16.95","0.42"
"L5","IFCCOLUMN","W Shapes-Column:W8x31:706126","0:20681","1","","42.10","1.05"
"L5","IFCCOLUMN","W Shapes-Column:W8x31:706572","0:20888","1","","42.10","1.05"
"L5","IFCCOLUMN","W Shapes-Column:W8x31:706742","0:20904","1","","42.10","1.05"
"L5","IFCCOLUMN","W Shapes-Column:W8x31:709067","0:22793","1","","42.10","1.05"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:711730","0:22829","1","","46.07","73.46"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:711731","0:22859","1","","46.07","73.46"
"L3","IFCCOLUMN","W Shapes-Column:W10x49:768316","0:27077","1","","72.73","2.86"
"L5","IFCCOLUMN","W Shapes-Column:W8x31:779278","0:31112","1","","16.95","0.42"
"L5","IFCCOLUMN","W Shapes-Column:W8x31:797806","0:49760","1","","42.10","1.05"
"Elevator Pit","IFCWALL","Basic Wall:Concrete 12"":585306","0:868","1","7636.76","307.58","927.96"
"Elevator Pit","IFCWALL","Basic Wall:Concrete 18"":587034","0:2502","1","5559.57","107.99","1012.11"
"Elevator Pit","IFCWALL","Basic Wall:Concrete 18"":587489","0:3176","1","3860.45","78.06","702.82"
