"Storey","IFC Type","Element Name","CompositeKey","EA","SF","LF","CY"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708938","0:22222","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708939","0:22255","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708940","0:22288","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708941","0:22321","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708942","0:22354","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708943","0:22387","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708944","0:22531","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708945","0:22564","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708946","0:22597","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708947","0:22630","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708948","0:22663","1","","73.00","0.41"
"L5","IFCBEAM","W Shapes:W18x55:709052","0:22701","1","","74.18","3.07"
"L5","IFCBEAM","W Shapes:W18x55:709053","0:22734","1","","55.29","2.25"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713122","0:22992","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713124","0:23048","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713126","0:23080","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713128","0:23112","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713130","0:23144","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713132","0:23176","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713134","0:23208","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713136","0:23240","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713138","0:23272","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713140","0:23415","1","","55.23","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713142","0:23447","1","","55.23","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713144","0:23590","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713146","0:23621","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713148","0:23653","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713150","0:23685","1","","54.82","0.30"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713316","0:23828","1","","44.97","0.24"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713317","0:23861","1","","44.97","0.24"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713318","0:23893","1","","44.97","0.24"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713319","0:24036","1","","45.25","0.24"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:713320","0:24068","1","","45.25","0.24"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720200","0:24211","1","","31.44","0.15"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720201","0:24355","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720202","0:24388","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720203","0:24421","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720204","0:24454","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720205","0:24487","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720206","0:24520","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720207","0:24553","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720208","0:24586","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720209","0:24619","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720210","0:24763","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720211","0:24796","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720212","0:24829","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720213","0:24862","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720214","0:24895","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720215","0:25039","1","","44.02","0.23"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720216","0:25181","1","","44.02","0.23"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720217","0:25212","1","","44.02","0.23"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720218","0:25243","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720219","0:25276","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720220","0:25309","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720221","0:25342","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720222","0:25375","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720223","0:25408","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720224","0:25441","1","","73.00","0.41"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:16K2:720225","0:25474","1","","73.00","0.41"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:724017","0:25627","1","","75.64","0.32"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:724033","0:25698","1","","32.40","0.13"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:724076","0:25771","1","","75.64","0.32"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:724098","0:25840","1","","32.40","0.13"
"R2","IFCBEAM","W Shapes:W8x10:724218","0:25873","1","","32.40","0.25"
"R2","IFCBEAM","W Shapes:W8x10:724220","0:25908","1","","32.40","0.25"
"R2","IFCBEAM","W Shapes:W8x10:724222","0:25942","1","","32.40","0.25"
"R2","IFCBEAM","W Shapes:W8x10:724224","0:25976","1","","32.40","0.25"
"R2","IFCBEAM","W Shapes:W8x10:724226","0:26010","1","","32.40","0.25"
"L2","IFCBEAM","SF_Steel L Angle:_Size:728099","0:26402","1","","31.30","0.14"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:729556","0:26617","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:729557","0:26650","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:729558","0:26682","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:729559","0:26714","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:729560","0:26746","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:729561","0:26889","1","","52.90","0.29"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:729562","0:26921","1","","52.90","0.29"
"L5","IFCBEAM","W Shapes:W8x10:761040","0:27003","1","","26.54","0.19"
"L1_43_High","IFCBEAM","W Shapes:W18x55:765115","0:27039","1","","73.00","3.14"
"M1","IFCBEAM","W Shapes:W18x55:769857","0:27101","1","","95.14","4.04"
"M1","IFCBEAM","W Shapes:W18x55:769858","0:27134","1","","95.14","4.07"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769866","0:27163","1","","49.90","0.27"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769867","0:27196","1","","49.90","0.27"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769868","0:27228","1","","49.90","0.27"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769869","0:27260","1","","49.90","0.27"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769870","0:27292","1","","49.90","0.27"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769871","0:27324","1","","49.90","0.27"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769872","0:27356","1","","49.90","0.27"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769880","0:27388","1","","48.67","0.26"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769881","0:27420","1","","48.67","0.26"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769882","0:27451","1","","48.67","0.26"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769883","0:27482","1","","48.67","0.26"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769884","0:27513","1","","48.67","0.26"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769885","0:27544","1","","48.67","0.26"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:769886","0:27575","1","","48.67","0.26"
"M1","IFCBEAM","W Shapes:W18x86:770055","0:27610","1","","49.90","3.22"
"M1","IFCBEAM","W Shapes:W18x55:770056","0:27641","1","","49.90","2.09"
"M1","IFCBEAM","W Shapes:W18x55:770057","0:27672","1","","50.17","1.98"
"M1","IFCBEAM","W Shapes:W18x55:770058","0:27703","1","","50.17","2.01"
"M1","IFCBEAM","W Shapes:W8x10:771216","0:27734","1","","21.39","0.15"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771269","0:27762","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771271","0:27796","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771273","0:27829","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771275","0:27862","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771277","0:27895","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771279","0:27928","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771281","0:27961","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771283","0:27994","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771285","0:28138","1","","43.74","0.23"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771287","0:28169","1","","43.74","0.23"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771556","0:28310","1","","52.63","0.29"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771557","0:28342","1","","52.63","0.29"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771558","0:28373","1","","52.63","0.29"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771559","0:28404","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771560","0:28436","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771561","0:28468","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771562","0:28500","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771563","0:28643","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771564","0:28675","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771565","0:28707","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771566","0:28739","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771567","0:28882","1","","53.45","0.29"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771568","0:28913","1","","53.45","0.29"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771569","0:28944","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771570","0:28976","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771571","0:29008","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771572","0:29040","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771573","0:29072","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771574","0:29104","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771575","0:29136","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771576","0:29168","1","","54.82","0.30"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:771577","0:29200","1","","54.82","0.30"
"L4","IFCBEAM","W Shapes:W18x55:774939","0:29575","1","","49.90","2.09"
"L4","IFCBEAM","W Shapes:W18x55:774940","0:29608","1","","49.90","2.09"
"L4","IFCBEAM","W Shapes:W18x55:775006","0:29640","1","","78.19","3.35"
"L4","IFCBEAM","W Shapes:W18x55:775081","0:29672","1","","78.19","3.34"
"L4","IFCBEAM","W Shapes:W14X30:775109","0:29705","1","","49.90","1.00"
"L4","IFCBEAM","W Shapes:W14X30:775110","0:29778","1","","49.90","1.00"
"L4","IFCBEAM","W Shapes:W14X30:775111","0:29811","1","","49.90","1.00"
"L4","IFCBEAM","W Shapes:W14X30:775112","0:29844","1","","49.90","1.00"
"L4","IFCBEAM","W Shapes:W14X30:775113","0:29877","1","","49.90","1.00"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778312","0:30102","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778313","0:30135","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778314","0:30167","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778315","0:30199","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778316","0:30342","1","","53.31","0.29"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778317","0:30373","1","","53.31","0.29"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778318","0:30515","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778319","0:30547","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778320","0:30579","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778321","0:30611","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778322","0:30643","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778323","0:30675","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778324","0:30707","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778325","0:30739","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778326","0:30771","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778327","0:30803","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778328","0:30946","1","","53.45","0.29"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778329","0:30977","1","","53.45","0.29"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778330","0:31008","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778331","0:31040","1","","54.82","0.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:778332","0:31072","1","","54.82","0.30"
"L5","IFCBEAM","W Shapes:W12X26:779279","0:31137","1","","17.57","0.32"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787898","0:32731","1","","52.90","0.28"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787900","0:32763","1","","52.90","0.28"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787902","0:32905","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787904","0:32937","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787906","0:32969","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787908","0:33001","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787910","0:33033","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787912","0:33065","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787914","0:33097","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787916","0:33129","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787918","0:33161","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787920","0:33193","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787922","0:33225","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787924","0:33257","1","","54.82","0.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:787926","0:33289","1","","54.82","0.29"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:788436","0:33416","1","","75.64","0.32"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:788437","0:33485","1","","27.48","0.11"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:788438","0:33558","1","","75.64","0.32"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:788439","0:33627","1","","27.48","0.11"
"R2","IFCBEAM","W Shapes:W8x10:789832","0:33660","1","","27.48","0.22"
"R2","IFCBEAM","W Shapes:W8x10:789833","0:33695","1","","27.48","0.22"
"R2","IFCBEAM","W Shapes:W8x10:789834","0:33729","1","","27.48","0.22"
"R2","IFCBEAM","W Shapes:W8x10:789835","0:33763","1","","27.48","0.22"
"R2","IFCBEAM","W Shapes:W8x10:789836","0:33797","1","","27.48","0.22"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:790106","0:33920","1","","70.58","0.30"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:790107","0:33989","1","","27.48","0.11"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:790108","0:34063","1","","70.58","0.30"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:790109","0:34133","1","","27.48","0.11"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:790561","0:34212","1","","27.34","0.11"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:790562","0:34285","1","","24.35","0.10"
"Parapet 2","IFCBEAM","SF_Steel L Angle:_Size:790563","0:34354","1","","27.34","0.11"
"L3","IFCBEAM","W Shapes:W18x55:792110","0:34428","1","","64.39","2.76"
"L3","IFCBEAM","W Shapes:W18x55:792111","0:34462","1","","66.98","2.91"
"L3","IFCBEAM","W Shapes:W18x55:792112","0:34494","1","","56.87","2.39"
"L3","IFCBEAM","W Shapes:W18x55:792113","0:34527","1","","79.07","3.27"
"L3","IFCBEAM","W Shapes:W18x55:792116","0:34560","1","","95.14","4.10"
"L3","IFCBEAM","W Shapes:W18x55:792117","0:34593","1","","78.74","3.34"
"L3","IFCBEAM","W Shapes:W18x55:792118","0:34626","1","","66.16","2.83"
"L3","IFCBEAM","W Shapes:W18x55:792119","0:34659","1","","55.23","2.39"
"L3","IFCBEAM","W Shapes:W18x55:792120","0:34691","1","","53.89","2.22"
"L3","IFCBEAM","W Shapes:W18x55:792121","0:34723","1","","54.82","2.33"
"L3","IFCBEAM","W Shapes:W18x86:792122","0:34755","1","","49.90","3.28"
"L3","IFCBEAM","W Shapes:W18x55:792123","0:34786","1","","95.14","4.04"
"L3","IFCBEAM","W Shapes:W18x55:792124","0:34819","1","","66.16","2.78"
"L3","IFCBEAM","W Shapes:W18x55:792125","0:34852","1","","56.87","2.34"
"L3","IFCBEAM","W Shapes:W18x55:792126","0:34886","1","","98.64","4.10"
"L3","IFCBEAM","W Shapes:W18x55:792127","0:34920","1","","74.18","3.07"
"L3","IFCBEAM","W Shapes:W18x55:792128","0:34953","1","","55.29","2.25"
"L3","IFCBEAM","W Shapes:W18x55:792129","0:34986","1","","50.33","2.03"
"L3","IFCBEAM","W Shapes:W18x55:792130","0:35019","1","","42.90","1.72"
"L3","IFCBEAM","W Shapes:W18x55:792131","0:35051","1","","62.09","2.50"
"L3","IFCBEAM","W Shapes:W18x55:792132","0:35084","1","","64.39","2.73"
"L3","IFCBEAM","W Shapes:W18x55:792133","0:35117","1","","78.74","3.29"
"L3","IFCBEAM","W Shapes:W18x55:792134","0:35149","1","","66.16","2.78"
"L3","IFCBEAM","W Shapes:W18x55:792135","0:35182","1","","56.87","2.34"
"L3","IFCBEAM","W Shapes:W18x55:792136","0:35215","1","","69.38","2.81"
"L3","IFCBEAM","W Shapes:W18x55:792137","0:35248","1","","49.90","2.09"
"L3","IFCBEAM","W Shapes:W18x55:792138","0:35279","1","","49.90","2.09"
"L3","IFCBEAM","W Shapes:W18x55:792139","0:35310","1","","22.36","0.86"
"L3","IFCBEAM","W Shapes:W18x55:792140","0:35342","1","","50.17","2.01"
"L3","IFCBEAM","W Shapes:W18x55:792141","0:35373","1","","50.17","2.01"
"L3","IFCBEAM","W Shapes:W18x55:792142","0:35404","1","","50.17","2.01"
"L3","IFCBEAM","W Shapes:W18x55:792143","0:35435","1","","95.14","4.10"
"L3","IFCBEAM","W Shapes:W18x55:792144","0:35468","1","","66.16","2.83"
"L3","IFCBEAM","W Shapes:W18x55:792145","0:35501","1","","56.87","2.38"
"L3","IFCBEAM","W Shapes:W18x55:792146","0:35534","1","","25.84","0.91"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792154","0:35562","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792155","0:35595","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792156","0:35627","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792157","0:35659","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792158","0:35691","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792159","0:35723","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792160","0:35755","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792168","0:35787","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792169","0:35819","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792170","0:35850","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792171","0:35881","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792172","0:35912","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792173","0:35943","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792174","0:35974","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792185","0:36005","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792186","0:36037","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792187","0:36068","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792188","0:36099","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792189","0:36130","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792190","0:36161","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792191","0:36192","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792192","0:36223","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792193","0:36254","1","","48.67","0.26"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792211","0:36285","1","","43.16","0.23"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792212","0:36318","1","","43.86","0.23"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792213","0:36350","1","","44.58","0.24"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792214","0:36382","1","","45.28","0.24"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792215","0:36414","1","","45.98","0.25"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792223","0:36446","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792224","0:36479","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792225","0:36511","1","","49.90","0.27"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792226","0:36543","1","","49.90","0.27"
"L3","IFCBEAM","W Shapes:W18x55:792227","0:36579","1","","73.55","3.08"
"L3","IFCBEAM","W Shapes:W18x55:792229","0:36611","1","","54.82","2.30"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792267","0:36639","1","","73.00","0.41"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792268","0:36673","1","","73.00","0.41"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792269","0:36706","1","","73.00","0.41"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792270","0:36739","1","","73.00","0.41"
"L3","IFCBEAM","W Shapes:W18x55:792279","0:36776","1","","47.85","2.07"
"L3","IFCBEAM","W Shapes:W8x10:792281","0:36807","1","","23.35","0.16"
"L3","IFCBEAM","W Shapes:W18x55:792282","0:36838","1","","46.21","1.94"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792304","0:36865","1","","31.44","0.15"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792305","0:36898","1","","73.00","0.41"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792306","0:36931","1","","73.00","0.41"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792307","0:36964","1","","73.00","0.41"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792308","0:36997","1","","73.00","0.41"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792309","0:37030","1","","73.00","0.41"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792310","0:37063","1","","73.00","0.41"
"L3","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:792311","0:37096","1","","73.00","0.41"
